score,comments,crossposts,time_in_minutes
20798,4068,5,600
19730,2102,2,960
19264,943,3,630
18684,1710,2,1110
18223,3725,5,570
18089,828,11,450
49595,1837,9,1020
41668,884,17,750
35601,360,0,1140
33449,198,6,240
33285,730,0,900
32096,543,3,1080
31612,532,2,810
31401,1054,0,1410
29604,299,0,1110
29506,463,0,1080
40161,1124,2,1200
18140,1259,2,1290
16876,755,3,90
15564,536,0,1020
12084,595,1,900
10645,332,0,1320
10510,721,0,810
10500,687,1,1290
10447,722,0,30
10434,201,4,780
5085,164,0,720
4725,130,3,900
4241,315,6,1110
3966,348,2,1410
3836,62,3,1410
3253,31,3,570
3236,140,0,420
3192,217,1,900
2979,119,0,690
2960,322,4,510
230357,3076,60,1200
224132,6637,29,750
219427,6790,33,990
206172,6302,41,930
183480,2905,72,930
181667,3075,25,780
178059,3261,77,1110
175952,3449,20,1260
174255,2262,10,1170
173280,2013,127,1230
54485,1448,12,960
46946,1040,11,870
43386,933,1,1260
41849,183,30,1080
37446,1275,0,1110
25964,4685,15,1230
24471,1793,0,1260
22983,521,0,1050
18951,736,3,990
15799,4244,4,1020
73141,994,19,0
63282,523,19,1350
62188,668,10,750
58149,846,29,780
55547,1039,0,1230
54334,524,8,750
52821,482,27,540
52449,625,21,720
51205,554,11,60
50913,646,8,780
11542,1263,1,840
10935,402,0,690
9849,263,0,1020
9645,389,16,150
9015,1701,37,1080
7360,339,0,1320
7030,532,0,1230
6667,241,2,990
5991,482,0,600
5866,133,0,1350
